transaction_id,customer_id,transaction_date,product_id,product_name,quantity,price,tax,customer_first_name,customer_last_name,customer_email,customer_phone,customer_country,customer_city
1001,501.0,2023-07-11,101,Product A,1.0,76.27,8.23,John,Doe,john.doe@example.com,+1-234-567-8901,USA,New York
1002,502.0,2023-07-12,102,Product B,3.0,119.16,17.06,Jane,Smith,jane.smith@example.com,+1-234-567-8902,Canada,Toronto
1003,503.0,2023-07-13,103,Product C,1.0,287.25,26.36,Bob,Brown,bob.brown@example.com,+1-234-567-8903,UK,London
1004,504.0,2023-07-13,104,Product D,2.0,115.46,25.39,Alice,Jones,alice.jones@example.com,+1-234-567-8904,Australia,Sydney
1005,505.0,2023-07-12,100,Product E,4.0,255.05,16.03,Charlie,Taylor,charlie.taylor@example.com,+1-234-567-8905,Germany,Berlin
1006,506.0,2023-07-20,101,Product A,,77.61,24.56,David,White,david.white@example.com,+1-234-567-8906,France,Paris
1007,,2023-07-18,102,Product B,5.0,78.28,18.24,Sarah,Green,sarah.green@example.com,+1-234-567-8907,Italy,Rome
1008,508.0,18-07-2023,103,Product C,1.0,254.17,14.87,Emily,Hall,emily.hall@example.com,+1-234-567-8908,Spain,Madrid
1009,509.0,2023-07-16,104,Product D,5.0,Two Hundred,10.69,Michael,Scott,michael.scott@example.com,+1-234-567-8909,Netherlands,Amsterdam
T1010,500.0,2023-07-15,100,Product E,4.0,200.35,17.34,Emma,Wilson,emma.wilson@example.com,+1-234-567-8910,Sweden,Stockholm
1011,501.0,2023-07-16,101,Product A,3.0,112.25,Fifteen,Oliver,King,oliver.king@example.com,+1-234-567-8911,Norway,Oslo
1012,502.0,2023-07-20,102,Product B,,206.0,28.52,Isabella,Wright,isabella.wright@example.com,+1-234-567-8912,Denmark,Copenhagen
1013,503.0,2023-07-14,103,Product C,1.0,86.54,28.58,Jacob,Moore,jacob.moore@example.com,+1-234-567-8913,Belgium,Brussels
1014,,2023-07-17,104,Product D,5.0,209.43,19.52,Mia,Adams,mia.adams@example.com,+1-234-567-8914,Switzerland,Zürich
1015,505.0,2023-07-16,P100,Product E,4.0,52.97,7.61,Lucas,Hughes,lucas.hughes@example.com,+1-234-567-8915,Austria,Vienna
1016,506.0,11-07-2023,101,Product A,1.0,137.05,16.48,Lily,Turner,lily.turner@example.com,+1-234-567-8916,Ireland,Dublin
1017,507.0,2023-07-16,102,Product B,2.0,132.87,5.55,Aiden,Campbell,aiden.campbell@example.com,+1-234-567-8917,Portugal,Lisbon
1018,508.0,2023-07-17,103,Product C,,Two Hundred,7.7,Charlotte,Evans,charlotte.evans@example.com,+1-234-567-8918,Greece,Athens
1019,509.0,2023-07-14,104,Product D,1.0,137.82,14.17,Ethan,Edwards,ethan.edwards@example.com,+1-234-567-8919,Poland,Warsaw
T1020,500.0,2023-07-15,100,Product E,2.0,144.66,23.74,Sophia,Collins,sophia.collins@example.com,+1-234-567-8920,Hungary,Budapest
1021,,2023-07-16,101,Product A,4.0,188.62,16.11,Mason,Stewart,mason.stewart@example.com,+1-234-567-8921,Czech Republic,Prague
1022,502.0,2023-07-11,102,Product B,1.0,103.71,Fifteen,Amelia,Gray,amelia.gray@example.com,+1-234-567-8922,Slovakia,Bratislava
1023,503.0,2023-07-15,103,Product C,1.0,179.95,28.53,Logan,Cox,logan.cox@example.com,+1-234-567-8923,Finland,Helsinki
1024,504.0,14-07-2023,104,Product D,,241.04,23.45,Zoe,Howard,zoe.howard@example.com,+1-234-567-8924,Luxembourg,Luxembourg City
1025,505.0,2023-07-10,100,Product E,5.0,261.65,22.97,Daniel,Wood,daniel.wood@example.com,+1-234-567-8925,Latvia,Riga
1026,506.0,2023-07-11,101,Product A,4.0,104.98,21.21,Grace,Thomas,grace.thomas@example.com,+1-234-567-8926,Lithuania,Vilnius
1027,507.0,2023-07-17,102,Product B,4.0,Two Hundred,6.05,Sebastian,Walker,sebastian.walker@example.com,+1-234-567-8927,Estonia,Tallinn
1028,,2023-07-10,103,Product C,4.0,194.77,28.42,Luna,Baker,luna.baker@example.com,+1-234-567-8928,Malta,Valletta
1029,509.0,2023-07-13,104,Product D,3.0,94.46,5.43,Elijah,Clark,elijah.clark@example.com,+1-234-567-8929,Slovenia,Ljubljana
T1030,500.0,2023-07-15,P100,Product E,,115.19,23.79,Chloe,Allen,chloe.allen@example.com,+1-234-567-8930,Cyprus,Nicosia
1031,501.0,2023-07-11,101,Product A,5.0,178.55,26.64,Henry,Young,henry.young@example.com,+1-234-567-8931,Iceland,Reykjavik
1032,502.0,16-07-2023,102,Product B,2.0,87.23,11.85,Ella,Hernandez,ella.hernandez@example.com,+1-234-567-8932,Monaco,Monaco
1033,503.0,2023-07-19,103,Product C,1.0,199.79,Fifteen,Levi,Martin,levi.martin@example.com,+1-234-567-8933,Liechtenstein,Vaduz
1034,504.0,2023-07-17,104,Product D,1.0,133.87,16.29,Eleanor,Gonzalez,eleanor.gonzalez@example.com,+1-234-567-8934,Andorra,Andorra la Vella
1035,,2023-07-11,100,Product E,5.0,145.45,10.18,Owen,Robinson,owen.robinson@example.com,+1-234-567-8935,San Marino,San Marino City
1036,506.0,2023-07-16,101,Product A,,Two Hundred,9.84,Addison,Scott,addison.scott@example.com,+1-234-567-8936,Vatican City,Vatican City
1037,507.0,2023-07-16,102,Product B,4.0,247.01,26.91,Isaac,Adams,isaac.adams@example.com,+1-234-567-8937,Kosovo,Pristina
1038,508.0,2023-07-18,103,Product C,2.0,130.85,28.55,Victoria,Morris,victoria.morris@example.com,+1-234-567-8938,Moldova,Chisinau
1039,509.0,2023-07-10,104,Product D,2.0,252.51,14.6,Hannah,Rogers,hannah.rogers@example.com,+1-234-567-8939,Ukraine,Kyiv
T1040,500.0,19-07-2023,100,Product E,1.0,268.73,23.48,Sophie,Reed,sophie.reed@example.com,+1-234-567-8940,Georgia,Tbilisi
1041,501.0,2023-07-17,101,Product A,4.0,168.56,9.22,Evelyn,Cook,evelyn.cook@example.com,+1-234-567-8941,Armenia,Yerevan
1042,,2023-07-12,102,Product B,,235.26,27.72,Nicholas,Peterson,nicholas.peterson@example.com,+1-234-567-8942,Azerbaijan,Baku
1043,503.0,2023-07-11,103,Product C,3.0,230.73,27.24,Stella,Bailey,stella.bailey@example.com,+1-234-567-8943,Kazakhstan,Astana
1044,504.0,2023-07-16,104,Product D,2.0,254.38,Fifteen,Nathan,Mitchell,nathan.mitchell@example.com,+1-234-567-8944,Uzbekistan,Tashkent
1045,505.0,2023-07-17,P100,Product E,3.0,Two Hundred,16.71,Addison,Carter,addison.carter@example.com,+1-234-567-8945,Kyrgyzstan,Bishkek
1046,506.0,2023-07-10,101,Product A,3.0,182.98,29.2,Samuel,Martinez,samuel.martinez@example.com,+1-234-567-8946,Tajikistan,Dushanbe
1047,507.0,2023-07-18,102,Product B,4.0,288.77,19.39,Naomi,Garcia,naomi.garcia@example.com,+1-234-567-8947,Turkmenistan,Ashgabat
1048,508.0,10-07-2023,103,Product C,,54.89,16.08,Aria,Foster,aria.foster@example.com,+1-234-567-8948,Afghanistan,Kabul
1049,,2023-07-12,104,Product D,2.0,161.99,17.87,Joseph,Perry,joseph.perry@example.com,+1-234-567-8949,Pakistan,Islamabad
T1050,500.0,2023-07-17,100,Product E,1.0,268.59,16.25,Hazel,Phillips,hazel.phillips@example.com,+1-234-567-8950,India,New Delhi
